7.381780979,39.04673461
7.218219248,39.04587067
7.055215925,39.04327896
6.892788937,39.03895975
6.730956167,39.03291349
6.569735453,39.02514082
6.409144576,39.01564256
6.249201256,39.00441972
6.089923147,38.99147349
5.93132783,38.97680522
5.773432806,38.96041645
5.616255489,38.94230893
5.459813203,38.92248454
5.304123174,38.90094537
5.149202524,38.87769367
4.995068264,38.85273188
4.841737292,38.8260626
4.689226381,38.79768862
4.537552181,38.76761288
4.386731206,38.73583851
4.236779834,38.7023688
4.087714296,38.66720721
3.939550678,38.63035736
3.79230491,38.59182305
3.64599276,38.55160823
3.500629837,38.50971702
3.356231574,38.46615368
3.212813236,38.42092264
3.070389905,38.3740285
2.92897648,38.32547599
2.788587674,38.27527
2.649238006,38.22341557
2.5109418,38.1699179
2.373713178,38.1147823
2.237566058,38.05801426
2.102514151,37.99961938
1.968570956,37.93960343
1.835749755,37.87797229
1.704063614,37.81473198
1.573525375,37.74988865
1.444147656,37.68344859
1.315942848,37.6154182
1.188923112,37.54580401
1.063100372,37.47461266
0.9384863222,37.40185094
0.8150924144,37.32752571
0.6929298622,37.25164399
0.5720096373,37.17421287
0.452342467,37.09523957
0.3339388333,37.01473141
0.216808971,36.93269581
0.1009628661,36.8491403
-0.01358974489,36.76407249
-0.1268393767,36.67750009
-0.2387767957,36.58943091
-0.3493930215,36.49987285
-0.4586793268,36.40883388
-0.5666272384,36.31632207
-0.6732285376,36.22234556
-0.7784752604,36.12691257
-0.8823596977,36.03003141
-0.9848743953,35.93171044
-1.086012154,35.8319581
-1.185766028,35.73078291
-1.284129327,35.62819345
-1.381095613,35.52419834
-1.476658703,35.41880628
-1.570812665,35.31202604
-1.663551819,35.20386642
-1.754870733,35.09433628
-1.844764229,34.98344454
-1.933227373,34.87120015
-2.020255481,34.75761214
-2.105844112,34.64268953
-2.189989072,34.52644143
-2.272686406,34.40887695
-2.353932404,34.29000528
-2.433723591,34.16983559
-2.512056733,34.04837713
-2.588928828,33.92563914
-2.66433711,33.80163092
-2.738279042,33.67636178
-2.810752319,33.54984104
-2.88175486,33.42207807
-2.95128481,33.29308224
-3.019340537,33.16286294
-3.085920627,33.03142957
-3.151023885,32.89879156
-3.21464933,32.76495832
-3.276796194,32.62993931
-3.337463918,32.49374397
-3.39665215,32.35638175
